date,real,nominal
1915-01-01,521.41,19.25
1915-02-01,526.62,19.25
1915-03-01,531.94,19.25
1915-04-01,526.62,19.25
1915-05-01,521.41,19.25
1915-06-01,521.41,19.25
1915-07-01,521.41,19.25
1915-08-01,521.41,19.25
1915-09-01,521.41,19.25
1915-10-01,516.29,19.25
1915-11-01,511.28,19.25
1915-12-01,511.28,19.25
1916-01-01,512.16,19.47
1916-02-01,512.16,19.47
1916-03-01,507.27,19.47
1916-04-01,502.48,19.47
1916-05-01,497.79,19.47
1916-06-01,493.18,19.47
1916-07-01,493.18,19.47
1916-08-01,488.66,19.47
1916-09-01,479.86,19.47
1916-10-01,471.35,19.47
1916-11-01,463.15,19.47
1916-12-01,459.16,19.47
1917-01-01,459.69,19.66
1917-02-01,448.19,19.66
1917-03-01,448.19,19.66
1917-04-01,426.86,19.66
1917-05-01,420.17,19.66
1917-06-01,413.73,19.66
1917-07-01,420.17,19.66
1917-08-01,413.73,19.66
1917-09-01,404.39,19.66
1917-10-01,398.39,19.66
1917-11-01,398.39,19.66
1917-12-01,392.57,19.66
1918-01-01,387.69,19.84
1918-02-01,384.94,19.84
1918-03-01,387.69,19.84
1918-04-01,382.22,19.84
1918-05-01,374.32,19.84
1918-06-01,369.22,19.84
1918-07-01,359.44,19.84
1918-08-01,352.44,19.84
1918-09-01,345.71,19.84
1918-10-01,339.22,19.84
1918-11-01,332.97,19.84
1918-12-01,328.95,19.84
1919-01-01,332.1,20.03
1919-02-01,338.25,20.03
1919-03-01,334.12,20.03
1919-04-01,328.11,20.03
1919-05-01,324.23,20.03
1919-06-01,324.23,20.03
1919-07-01,314.91,20.03
1919-08-01,309.58,20.03
1919-09-01,307.84,20.03
1919-10-01,302.73,20.03
1919-11-01,296.18,20.03
1919-12-01,289.91,20.03
1920-01-01,292.41,20.63
1920-02-01,289.42,20.63
1920-03-01,286.49,20.63
1920-04-01,278.01,20.63
1920-05-01,273.97,20.63
1920-06-01,270.03,20.63
1920-07-01,271.33,20.63
1920-08-01,278.01,20.63
1920-09-01,282.18,20.63
