date,real,nominal
1915-01-01,13.81,0.51
1915-02-01,13.95,0.51
1915-03-01,14.09,0.51
1915-04-01,13.95,0.51
1915-05-01,13.81,0.51
1915-06-01,13.81,0.51
1915-07-01,13.81,0.51
1915-08-01,13.81,0.51
1915-09-01,13.81,0.51
1915-10-01,13.68,0.51
1915-11-01,13.55,0.51
1915-12-01,13.55,0.51
1916-01-01,17.62,0.67
1916-02-01,17.62,0.67
1916-03-01,17.46,0.67
1916-04-01,17.29,0.67
1916-05-01,17.13,0.67
1916-06-01,16.97,0.67
1916-07-01,16.97,0.67
1916-08-01,16.82,0.67
1916-09-01,16.51,0.67
1916-10-01,16.22,0.67
1916-11-01,15.94,0.67
1916-12-01,15.8,0.67
1917-01-01,19.64,0.84
1917-02-01,19.15,0.84
1917-03-01,19.15,0.84
1917-04-01,18.24,0.84
1917-05-01,17.95,0.84
1917-06-01,17.68,0.84
1917-07-01,17.95,0.84
1917-08-01,17.68,0.84
1917-09-01,17.28,0.84
1917-10-01,17.02,0.84
1917-11-01,17.02,0.84
1917-12-01,16.77,0.84
1918-01-01,19.15,0.98
1918-02-01,19.01,0.98
1918-03-01,19.15,0.98
1918-04-01,18.88,0.98
1918-05-01,18.49,0.98
1918-06-01,18.24,0.98
1918-07-01,17.75,0.98
1918-08-01,17.41,0.98
1918-09-01,17.08,0.98
1918-10-01,16.76,0.98
1918-11-01,16.45,0.98
1918-12-01,16.25,0.98
1919-01-01,18.74,1.13
1919-02-01,19.08,1.13
1919-03-01,18.85,1.13
1919-04-01,18.51,1.13
1919-05-01,18.29,1.13
1919-06-01,18.29,1.13
1919-07-01,17.77,1.13
1919-08-01,17.47,1.13
1919-09-01,17.37,1.13
1919-10-01,17.08,1.13
1919-11-01,16.71,1.13
1919-12-01,16.36,1.13
1920-01-01,14.6,1.03
1920-02-01,14.45,1.03
1920-03-01,14.3,1.03
1920-04-01,13.88,1.03
1920-05-01,13.68,1.03
1920-06-01,13.48,1.03
1920-07-01,13.55,1.03
1920-08-01,13.88,1.03
1920-09-01,14.09,1.03
1920-10-01,14.16,1.03
1920-11-01,14.23,1.03
1920-12-01,14.52,1.03
1921-01-01,9.07,0.63
1921-02-01,9.37,0.63
1921-03-01,9.42,0.63
1921-04-01,9.52,0.63
1921-05-01,9.74,0.63
1921-06-01,9.79,0.63
1921-07-01,9.74,0.63
1921-08-01,9.74,0.63
1921-09-01,9.85,0.63
1921-10-01,9.85,0.63
1921-11-01,9.9,0.63
1921-12-01,9.96,0.63
1922-01-01,11.01,0.68
1922-02-01,11.01,0.68
1922-03-01,11.14,0.68
1922-04-01,11.14,0.68
1922-05-01,11.14,0.68
1922-06-01,11.14,0.68
1922-07-01,11.07,0.68
1922-08-01,11.21,0.68
1922-09-01,11.21,0.68
1922-10-01,11.14,0.68
1922-11-01,11.07,0.68
1922-12-01,11.01,0.68
1923-01-01,10.58,0.65
1923-02-01,10.58,0.65
1923-03-01,10.58,0.65
1923-04-01,10.52,0.65
1923-05-01,10.52,0.65
1923-06-01,10.46,0.65
1923-07-01,10.34,0.65
1923-08-01,10.4,0.65
1923-09-01,10.34,0.65
1923-10-01,10.28,0.65
1923-11-01,10.28,0.65
1923-12-01,10.28,0.65
1924-01-01,10.59,0.67
1924-02-01,10.66,0.67
1924-03-01,10.72,0.67
1924-04-01,10.78,0.67
1924-05-01,10.78,0.67
1924-06-01,10.78,0.67
1924-07-01,10.72,0.67
1924-08-01,10.78,0.67
1924-09-01,10.72,0.67
1924-10-01,10.66,0.67
1924-11-01,10.66,0.67
1924-12-01,10.59,0.67
1925-01-01,10.91,0.69
1925-02-01,10.97,0.69
1925-03-01,10.91,0.69
1925-04-01,10.97,0.69
1925-05-01,10.91,0.69
1925-06-01,10.79,0.69
1925-07-01,10.66,0.69
1925-08-01,10.66,0.69
1925-09-01,10.66,0.69
1925-10-01,10.66,0.69
1925-11-01,10.49,0.69
